POS,2.66,5.25,-1.88,51
POS,2.60,5.25,-1.96,51
POS,2.54,5.24,-2.00,51
POS,2.47,5.23,-2.04,50
POS,2.40,5.22,-2.07,49
POS,2.34,5.21,-2.07,49
POS,2.28,5.18,-2.08,47
POS,2.23,5.17,-2.10,46
POS,2.16,5.15,-2.11,46
POS,2.11,5.17,-2.12,46
POS,2.06,5.18,-2.14,45
POS,1.99,5.19,-2.14,45
POS,1.94,5.22,-2.16,44
POS,1.89,5.23,-2.18,42
POS,1.84,5.24,-2.18,43
POS,1.81,5.26,-2.17,46
POS,1.78,5.25,-2.16,43
POS,1.74,5.26,-2.15,43
POS,1.70,5.21,-2.13,41
POS,1.65,5.18,-2.12,40
POS,1.62,5.13,-2.08,40
POS,1.60,5.19,-2.09,43
POS,1.52,5.23,-2.22,28
POS,1.51,5.24,-2.25,35
POS,1.50,5.25,-2.28,36
POS,1.49,5.26,-2.27,38
POS,1.49,5.21,-2.22,71
POS,1.51,5.26,-2.22,42
POS,1.51,5.29,-2.23,39
POS,1.52,5.29,-2.21,42
POS,1.53,5.25,-2.22,38
POS,1.54,5.24,-2.20,41
POS,1.54,5.23,-2.19,40
POS,1.55,5.23,-2.16,43
POS,1.57,5.24,-2.14,45
POS,1.58,5.25,-2.14,43
POS,1.62,5.28,-2.15,45
POS,1.61,5.28,-2.17,41
POS,1.60,5.28,-2.18,41
POS,1.61,5.28,-2.16,44
POS,1.59,5.27,-2.17,40
POS,1.58,5.28,-2.18,41
POS,1.57,5.28,-2.18,41
POS,1.58,5.28,-2.16,43
POS,1.56,5.25,-2.18,38
POS,1.55,5.25,-2.17,41
POS,1.54,5.25,-2.17,40
POS,1.53,5.24,-2.17,39
POS,1.52,5.24,-2.17,40
POS,1.51,5.23,-2.17,39
POS,1.51,5.23,-2.17,39
POS,1.51,5.21,-2.18,39
POS,1.51,5.21,-2.18,39
POS,1.51,5.22,-2.17,42
POS,1.51,5.23,-2.15,42
POS,1.42,5.22,-2.22,27
POS,1.49,5.13,-2.37,71
POS,1.42,5.18,-2.39,30
POS,1.37,5.20,-2.41,29
POS,1.38,5.20,-2.37,35
POS,1.33,5.20,-2.38,29
POS,1.38,5.21,-2.30,43
POS,1.41,5.22,-2.26,40
POS,1.44,5.22,-2.24,40
POS,1.46,5.22,-2.21,42
POS,1.49,5.23,-2.19,42
POS,1.52,5.23,-2.15,46
POS,1.55,5.23,-2.12,45
POS,1.57,5.24,-2.09,46
POS,1.58,5.25,-2.07,46
POS,1.59,5.24,-2.04,47
POS,1.61,5.24,-2.03,46
POS,1.61,5.26,-2.02,47
POS,1.62,5.26,-2.01,47
POS,1.62,5.27,-2.00,47
POS,1.62,5.27,-1.99,48
POS,1.61,5.25,-2.00,43
POS,1.61,5.26,-2.01,45
POS,1.60,5.27,-2.00,46
POS,1.61,5.28,-2.00,47
POS,1.62,5.27,-2.00,46
POS,1.61,5.27,-2.01,46
POS,1.62,5.27,-1.97,49
POS,1.62,5.25,-1.97,46
POS,1.59,5.24,-1.99,43
POS,1.58,5.24,-1.99,44
POS,1.57,5.24,-2.00,44
POS,1.59,5.24,-1.99,48
POS,1.60,5.24,-1.98,47
POS,1.60,5.24,-1.98,46
POS,1.61,5.25,-1.97,48
POS,1.61,5.26,-1.99,45
POS,1.61,5.25,-1.99,46
POS,1.63,5.26,-1.97,49
POS,1.63,5.26,-1.97,47
POS,1.62,5.25,-1.97,46
POS,1.62,5.24,-1.97,46
POS,1.63,5.25,-1.94,50
POS,1.64,5.24,-1.94,48
POS,1.64,5.24,-1.94,47
POS,1.65,5.24,-1.94,48
POS,1.66,5.23,-1.94,48
POS,1.64,5.25,-1.95,46
POS,1.64,5.25,-1.99,44
POS,1.64,5.27,-2.01,46
POS,1.64,5.28,-2.00,70
POS,1.64,5.32,-2.02,47
POS,1.63,5.34,-2.04,46
POS,1.63,5.34,-2.03,47
POS,1.63,5.34,-2.04,46
POS,1.65,5.34,-2.02,49
POS,1.63,5.32,-2.03,44
POS,1.63,5.31,-2.01,47
POS,1.63,5.30,-2.00,48
POS,1.64,5.29,-1.98,48
POS,1.64,5.27,-1.96,48
POS,1.64,5.26,-1.97,46
POS,1.65,5.25,-1.99,45
POS,1.64,5.25,-2.01,44
POS,1.63,5.25,-2.04,43
POS,1.63,5.24,-2.05,43
POS,1.61,5.25,-2.07,42
POS,1.59,5.25,-2.08,43
POS,1.58,5.22,-2.14,35
POS,1.56,5.21,-2.17,37
POS,1.51,5.20,-2.22,32
POS,1.49,5.20,-2.23,36
POS,1.46,5.20,-2.24,35
POS,1.46,5.21,-2.24,38
POS,1.44,5.22,-2.26,34
POS,1.46,5.22,-2.23,41
POS,1.48,5.24,-2.19,43
POS,1.49,5.22,-2.17,41
POS,1.50,5.23,-2.16,41
POS,1.52,5.24,-2.14,44
POS,1.49,5.23,-2.16,36
POS,1.52,5.24,-2.14,45
